scenario,tool,ligand,count
DLPFC_down_02,Baseline_1,DLL3,4
DLPFC_down_02,Baseline_1,DLL4,3
DLPFC_down_02,Baseline_1,DSC1,1
DLPFC_down_02,Baseline_1,DSC2,1
DLPFC_down_02,Baseline_1,EBI3,1
DLPFC_down_02,Baseline_1,EDN3,1
DLPFC_down_02,Baseline_1,EFNA1,6
DLPFC_down_02,Baseline_1,EFNA3,6
DLPFC_down_02,Baseline_1,EFNA4,2
DLPFC_down_02,Baseline_1,EFNA5,6
DLPFC_down_02,Baseline_1,EFNB1,5
DLPFC_down_02,Baseline_1,EFNB2,4
DLPFC_down_02,Baseline_1,EFNB3,6
DLPFC_down_02,Baseline_1,EGF,1
DLPFC_down_02,Baseline_1,ENHO,1
DLPFC_down_02,Baseline_1,ENTPD1,1
DLPFC_down_02,Baseline_1,F11R,1
DLPFC_down_02,Baseline_1,FGF1,4
DLPFC_down_02,Baseline_1,FGF17,3
DLPFC_down_02,Baseline_1,FGF2,4
DLPFC_down_02,Baseline_1,FGF20,2
DLPFC_down_02,Baseline_1,FGF22,1
DLPFC_down_02,Baseline_1,FGF7,2
DLPFC_down_02,Baseline_1,FGF9,3
DLPFC_down_02,Baseline_1,FLRT1,7
DLPFC_down_02,Baseline_1,FLRT2,7
DLPFC_down_02,Baseline_1,FLRT3,7
DLPFC_down_02,Baseline_1,FN1,12
DLPFC_down_02,Baseline_1,FRAS1,1
DLPFC_down_02,Baseline_1,FREM2,1
DLPFC_down_02,Baseline_1,GAD1,14
DLPFC_down_02,Baseline_1,GAD2,14
DLPFC_down_02,Baseline_1,GAL,2
DLPFC_down_02,Baseline_1,GAS6,3
DLPFC_down_02,Baseline_1,GDF10,2
DLPFC_down_02,Baseline_1,GDF11,4
DLPFC_down_02,Baseline_1,GDF15,1
DLPFC_down_02,Baseline_1,GDF6,1
DLPFC_down_02,Baseline_1,GDF7,3
DLPFC_down_02,Baseline_1,GDF9,1
DLPFC_down_02,Baseline_1,GHRH,1
DLPFC_down_02,Baseline_1,GJA1,1
DLPFC_down_02,Baseline_1,GJC1,1
DLPFC_down_02,Baseline_1,GLS,21
DLPFC_down_02,Baseline_1,GLS2,21
DLPFC_down_02,Baseline_1,GRN,1
DLPFC_down_02,Baseline_1,HGF,1
DLPFC_down_02,Baseline_1,HLA-A,3
DLPFC_down_02,Baseline_1,HLA-B,2
DLPFC_down_02,Baseline_1,HLA-C,3
DLPFC_down_02,Baseline_1,HLA-DMA,1
DLPFC_down_02,Baseline_1,HLA-DPA1,1
DLPFC_down_02,Baseline_1,HLA-DPB1,1
DLPFC_down_02,Baseline_1,HLA-DQA1,1
DLPFC_down_02,Baseline_1,HLA-DQA2,1
DLPFC_down_02,Baseline_1,HLA-DQB1,1
DLPFC_down_02,Baseline_1,HLA-DRA,1
DLPFC_down_02,Baseline_1,HLA-DRB1,1
DLPFC_down_02,Baseline_1,HLA-DRB5,1
DLPFC_down_02,Baseline_1,HLA-E,2
DLPFC_down_02,Baseline_1,HLA-F,3
DLPFC_down_02,Baseline_1,HSD17B1,2
DLPFC_down_02,Baseline_1,HSD17B12,1
DLPFC_down_02,Baseline_1,HSPG2,1
DLPFC_down_02,Baseline_1,ICAM1,1
DLPFC_down_02,Baseline_1,ICAM2,3
DLPFC_down_02,Baseline_1,ICAM5,1
DLPFC_down_02,Baseline_1,IGF1,4
DLPFC_down_02,Baseline_1,IGFBP3,1
DLPFC_down_02,Baseline_1,IL11,1
DLPFC_down_02,Baseline_1,IL16,1
DLPFC_down_02,Baseline_1,IL34,1
DLPFC_down_02,Baseline_1,IL6,1
DLPFC_down_02,Baseline_1,INHBA,2
DLPFC_down_02,Baseline_1,INHBB,3
DLPFC_down_02,Baseline_1,ITGAV,3
DLPFC_down_02,Baseline_1,ITGB1,2
DLPFC_down_02,Baseline_1,ITGB5,1
DLPFC_down_02,Baseline_1,JAG1,4
DLPFC_down_02,Baseline_1,JAG2,4
DLPFC_down_02,Baseline_1,JAM2,5
DLPFC_down_02,Baseline_1,JAM3,3
DLPFC_down_02,Baseline_1,KITLG,1
DLPFC_down_02,Baseline_1,KLK6,2
DLPFC_down_02,Baseline_1,L1CAM,1
DLPFC_down_02,Baseline_1,LAMA1,9
DLPFC_down_02,Baseline_1,LAMA2,11
DLPFC_down_02,Baseline_1,LAMA3,7
DLPFC_down_02,Baseline_1,LAMA4,14
DLPFC_down_02,Baseline_1,LAMA5,15
DLPFC_down_02,Baseline_1,LAMB1,12
DLPFC_down_02,Baseline_1,LAMB2,15
DLPFC_down_02,Baseline_1,LAMB3,10
DLPFC_down_02,Baseline_1,LAMC1,12
DLPFC_down_02,Baseline_1,LAMC2,5
DLPFC_down_02,Baseline_1,LAMC3,6
DLPFC_down_02,Baseline_1,LEP,1
DLPFC_down_02,Baseline_1,LGALS9,3
DLPFC_down_02,Baseline_1,LIPA,2
DLPFC_down_02,Baseline_1,LPAR1,1
DLPFC_down_02,Baseline_1,LPAR2,1
DLPFC_down_02,Baseline_1,LRFN4,3
DLPFC_down_02,Baseline_1,LRFN5,3
DLPFC_down_02,Baseline_1,LRRC4,1
DLPFC_down_02,Baseline_1,LRRC4B,3
DLPFC_down_02,Baseline_1,LRRC4C,2
DLPFC_down_02,Baseline_1,LTA4H,2
DLPFC_down_02,Baseline_1,MDK,8
DLPFC_down_02,Baseline_1,MIF,4
DLPFC_down_02,Baseline_1,MMP2,2
DLPFC_down_02,Baseline_1,NAMPT,2
DLPFC_down_02,Baseline_1,NCAM1,3
DLPFC_down_02,Baseline_1,NCAM2,1
DLPFC_down_02,Baseline_1,NECTIN1,1
DLPFC_down_02,Baseline_1,NECTIN3,3
DLPFC_down_02,Baseline_1,NFASC,2
DLPFC_down_02,Baseline_1,NPNT,2
DLPFC_down_02,Baseline_1,NPPA,1
DLPFC_down_02,Baseline_1,NPPC,1
DLPFC_down_02,Baseline_1,NPY,4
DLPFC_down_02,Baseline_1,NRG1,5
DLPFC_down_02,Baseline_1,NRG2,2
DLPFC_down_02,Baseline_1,NRG3,2
DLPFC_down_02,Baseline_1,NRG4,1
DLPFC_down_02,Baseline_1,NRTN,1
DLPFC_down_02,Baseline_1,NRXN1,13
DLPFC_down_02,Baseline_1,NRXN2,12
DLPFC_down_02,Baseline_1,NRXN3,11
DLPFC_down_02,Baseline_1,NT5E,2
DLPFC_down_02,Baseline_1,NTF3,1
DLPFC_down_02,Baseline_1,NTN1,2
DLPFC_down_02,Baseline_1,NTN4,3
DLPFC_down_02,Baseline_1,PDGFA,2
DLPFC_down_02,Baseline_1,PDGFB,2
DLPFC_down_02,Baseline_1,PDGFD,1
DLPFC_down_02,Baseline_1,PECAM1,1
DLPFC_down_02,Baseline_1,PENK,3
DLPFC_down_02,Baseline_1,PNMT,5
DLPFC_down_02,Baseline_1,PNOC,1
DLPFC_down_02,Baseline_1,POMC,2
DLPFC_down_02,Baseline_1,POSTN,2
DLPFC_down_02,Baseline_1,PPIA,1
DLPFC_down_02,Baseline_1,PRNP,1
DLPFC_down_02,Baseline_1,PROS1,2
DLPFC_down_02,Baseline_1,PRSS3,2
DLPFC_down_02,Baseline_1,PSAP,2
DLPFC_down_02,Baseline_1,PSPN,1
DLPFC_down_02,Baseline_1,PTGDS,2
DLPFC_down_02,Baseline_1,PTGES,1
DLPFC_down_02,Baseline_1,PTGES2,4
DLPFC_down_02,Baseline_1,PTGES3,4
DLPFC_down_02,Baseline_1,PTGR1,2
DLPFC_down_02,Baseline_1,PTHLH,1
DLPFC_down_02,Baseline_1,PTN,8
DLPFC_down_02,Baseline_1,PTPRC,1
DLPFC_down_02,Baseline_1,PTPRS,2
DLPFC_down_02,Baseline_1,RBP4,1
DLPFC_down_02,Baseline_1,RELN,4
DLPFC_down_02,Baseline_1,RTN4R,1
DLPFC_down_02,Baseline_1,SDC1,1
DLPFC_down_02,Baseline_1,SDC2,1
DLPFC_down_02,Baseline_1,SELE,1
DLPFC_down_02,Baseline_1,SELL,1
DLPFC_down_02,Baseline_1,SEMA3A,4
DLPFC_down_02,Baseline_1,SEMA3B,6
DLPFC_down_02,Baseline_1,SEMA3C,7
DLPFC_down_02,Baseline_1,SEMA3E,1
DLPFC_down_02,Baseline_1,SEMA3F,5
DLPFC_down_02,Baseline_1,SEMA3G,4
DLPFC_down_02,Baseline_1,SEMA4A,8
DLPFC_down_02,Baseline_1,SEMA4C,1
DLPFC_down_02,Baseline_1,SEMA4D,3
DLPFC_down_02,Baseline_1,SEMA4G,1
DLPFC_down_02,Baseline_1,SEMA5A,3
DLPFC_down_02,Baseline_1,SEMA5B,2
DLPFC_down_02,Baseline_1,SEMA6A,2
DLPFC_down_02,Baseline_1,SEMA6B,2
DLPFC_down_02,Baseline_1,SEMA6D,4
DLPFC_down_02,Baseline_1,SEMA7A,3
DLPFC_down_02,Baseline_1,SHMT1,1
DLPFC_down_02,Baseline_1,SHMT2,2
DLPFC_down_02,Baseline_1,SLC10A4,5
DLPFC_down_02,Baseline_1,SLC17A6,19
DLPFC_down_02,Baseline_1,SLC17A7,21
DLPFC_down_02,Baseline_1,SLC17A8,2
DLPFC_down_02,Baseline_1,SLC18A2,1
DLPFC_down_02,Baseline_1,SLC1A1,21
DLPFC_down_02,Baseline_1,SLC1A2,21
DLPFC_down_02,Baseline_1,SLC1A3,21
DLPFC_down_02,Baseline_1,SLC1A6,20
DLPFC_down_02,Baseline_1,SLC1A7,2
DLPFC_down_02,Baseline_1,SLC29A1,3
DLPFC_down_02,Baseline_1,SLC29A2,1
DLPFC_down_02,Baseline_1,SLC29A3,2
DLPFC_down_02,Baseline_1,SLC29A4,2
DLPFC_down_02,Baseline_1,SLC32A1,11
DLPFC_down_02,Baseline_1,SLC6A1,14
DLPFC_down_02,Baseline_1,SLC6A11,11
DLPFC_down_02,Baseline_1,SLC6A12,11
DLPFC_down_02,Baseline_1,SLC6A13,10
DLPFC_down_02,Baseline_1,SLC6A6,12
DLPFC_down_02,Baseline_1,SLC6A8,13
DLPFC_down_02,Baseline_1,SLC6A9,1
DLPFC_down_02,Baseline_1,SLIT1,1
DLPFC_down_02,Baseline_1,SLIT2,2
DLPFC_down_02,Baseline_1,SLITRK1,2
DLPFC_down_02,Baseline_1,SLITRK2,2
DLPFC_down_02,Baseline_1,SLITRK3,1
DLPFC_down_02,Baseline_1,SLITRK4,1
DLPFC_down_02,Baseline_1,SLITRK5,1
DLPFC_down_02,Baseline_1,SLURP1,1
DLPFC_down_02,Baseline_1,SPP1,8
DLPFC_down_02,Baseline_1,SRD5A1,1
DLPFC_down_02,Baseline_1,SRD5A3,1
DLPFC_down_02,Baseline_1,SST,3
DLPFC_down_02,Baseline_1,SULT1A1,3
DLPFC_down_02,Baseline_1,TAC1,2
DLPFC_down_02,Baseline_1,TAX1BP3,2
DLPFC_down_02,Baseline_1,TENM1,3
DLPFC_down_02,Baseline_1,TENM2,3
DLPFC_down_02,Baseline_1,TENM3,3
DLPFC_down_02,Baseline_1,TENM4,3
DLPFC_down_02,Baseline_1,TGFA,2
DLPFC_down_02,Baseline_1,TGFB1,4
DLPFC_down_02,Baseline_1,TGFB2,5
DLPFC_down_02,Baseline_1,TGFB3,3
DLPFC_down_02,Baseline_1,TGM2,1
DLPFC_down_02,Baseline_1,THBS1,7
DLPFC_down_02,Baseline_1,THBS2,7
DLPFC_down_02,Baseline_1,THBS3,7
DLPFC_down_02,Baseline_1,THBS4,7
DLPFC_down_02,Baseline_1,THY1,6
DLPFC_down_02,Baseline_1,TNC,1
DLPFC_down_02,Baseline_1,TNFSF10,1
DLPFC_down_02,Baseline_1,TNFSF12,1
DLPFC_down_02,Baseline_1,TNN,2
DLPFC_down_02,Baseline_1,TNR,7
DLPFC_down_02,Baseline_1,TNXB,6
DLPFC_down_02,Baseline_1,TUB,1
DLPFC_down_02,Baseline_1,UBASH3B,2
DLPFC_down_02,Baseline_1,UCN,1
DLPFC_down_02,Baseline_1,UNC5A,1
DLPFC_down_02,Baseline_1,VCAM1,1
DLPFC_down_02,Baseline_1,VEGFA,2
DLPFC_down_02,Baseline_1,VEGFB,1
DLPFC_down_02,Baseline_1,VIP,3
DLPFC_down_02,Baseline_1,VSIR,1
DLPFC_down_02,Baseline_1,VWF,2
DLPFC_down_02,Baseline_1,WNT10A,3
DLPFC_down_02,Baseline_1,WNT10B,7
DLPFC_down_02,Baseline_1,WNT11,2
DLPFC_down_02,Baseline_1,WNT16,1
DLPFC_down_02,Baseline_1,WNT2,4
DLPFC_down_02,Baseline_1,WNT2B,6
DLPFC_down_02,Baseline_1,WNT3,10
DLPFC_down_02,Baseline_1,WNT3A,4
DLPFC_down_02,Baseline_1,WNT4,5
DLPFC_down_02,Baseline_1,WNT5A,6
DLPFC_down_02,Baseline_1,WNT5B,5
DLPFC_down_02,Baseline_1,WNT6,2
DLPFC_down_02,Baseline_1,WNT7A,7
DLPFC_down_02,Baseline_1,WNT7B,6
DLPFC_down_02,Baseline_2,ADCYAP1,1
DLPFC_down_02,Baseline_2,ADIPOQ,1
DLPFC_down_02,Baseline_2,ADM,1
DLPFC_down_02,Baseline_2,ADORA3,1
DLPFC_down_02,Baseline_2,AGRN,1
DLPFC_down_02,Baseline_2,AKR1C3,2
DLPFC_down_02,Baseline_2,ALDH1A1,8
DLPFC_down_02,Baseline_2,ALDH1A2,5
DLPFC_down_02,Baseline_2,ALDH1A3,8
DLPFC_down_02,Baseline_2,ALOX5AP,1
DLPFC_down_02,Baseline_2,AMH,3
DLPFC_down_02,Baseline_2,ANGPT1,1
DLPFC_down_02,Baseline_2,ANGPT2,2
DLPFC_down_02,Baseline_2,ANGPTL1,1
DLPFC_down_02,Baseline_2,ANGPTL2,3
DLPFC_down_02,Baseline_2,ANGPTL4,9
DLPFC_down_02,Baseline_2,ANXA1,2
DLPFC_down_02,Baseline_2,APLN,1
DLPFC_down_02,Baseline_2,APOA1,3
DLPFC_down_02,Baseline_2,AREG,1
DLPFC_down_02,Baseline_2,ARTN,2
DLPFC_down_02,Baseline_2,BDNF,3
DLPFC_down_02,Baseline_2,BMP2,3
DLPFC_down_02,Baseline_2,BMP4,3
DLPFC_down_02,Baseline_2,BMP7,6
DLPFC_down_02,Baseline_2,BMP8A,3
DLPFC_down_02,Baseline_2,BMP8B,5
DLPFC_down_02,Baseline_2,BTC,3
DLPFC_down_02,Baseline_2,C1QL1,1
DLPFC_down_02,Baseline_2,C1QL2,1
DLPFC_down_02,Baseline_2,C3,4
DLPFC_down_02,Baseline_2,CADM1,2
DLPFC_down_02,Baseline_2,CADM3,5
DLPFC_down_02,Baseline_2,CALCB,2
DLPFC_down_02,Baseline_2,CBLN1,1
DLPFC_down_02,Baseline_2,CCL13,1
DLPFC_down_02,Baseline_2,CCL18,1
DLPFC_down_02,Baseline_2,CCL19,1
DLPFC_down_02,Baseline_2,CCL2,2
DLPFC_down_02,Baseline_2,CCL21,1
DLPFC_down_02,Baseline_2,CCL23,1
DLPFC_down_02,Baseline_2,CCL27,1
DLPFC_down_02,Baseline_2,CCL28,1
DLPFC_down_02,Baseline_2,CCL3,1
DLPFC_down_02,Baseline_2,CCL5,3
DLPFC_down_02,Baseline_2,CD46,1
DLPFC_down_02,Baseline_2,CD55,1
DLPFC_down_02,Baseline_2,CD6,1
DLPFC_down_02,Baseline_2,CD8A,1
DLPFC_down_02,Baseline_2,CD99,3
DLPFC_down_02,Baseline_2,CDH1,5
DLPFC_down_02,Baseline_2,CDH12,2
DLPFC_down_02,Baseline_2,CDH2,1
DLPFC_down_02,Baseline_2,CDH4,1
DLPFC_down_02,Baseline_2,CDH5,1
DLPFC_down_02,Baseline_2,CEACAM1,1
DLPFC_down_02,Baseline_2,CEACAM5,1
DLPFC_down_02,Baseline_2,CEACAM6,1
DLPFC_down_02,Baseline_2,CHAD,2
DLPFC_down_02,Baseline_2,CLDN11,1
DLPFC_down_02,Baseline_2,CLDN3,1
DLPFC_down_02,Baseline_2,CLEC2L,1
DLPFC_down_02,Baseline_2,CNTN1,3
DLPFC_down_02,Baseline_2,CNTN2,3
DLPFC_down_02,Baseline_2,COL1A1,13
DLPFC_down_02,Baseline_2,COL1A2,13
DLPFC_down_02,Baseline_2,COL2A1,9
DLPFC_down_02,Baseline_2,COL3A1,1
DLPFC_down_02,Baseline_2,COL4A1,14
DLPFC_down_02,Baseline_2,COL4A2,13
DLPFC_down_02,Baseline_2,COL4A4,5
DLPFC_down_02,Baseline_2,COL4A5,12
DLPFC_down_02,Baseline_2,COL6A1,13
DLPFC_down_02,Baseline_2,COL6A2,13
DLPFC_down_02,Baseline_2,COL6A3,12
DLPFC_down_02,Baseline_2,COL9A1,6
DLPFC_down_02,Baseline_2,COL9A2,13
DLPFC_down_02,Baseline_2,COL9A3,13
DLPFC_down_02,Baseline_2,COMP,7
DLPFC_down_02,Baseline_2,CORT,3
DLPFC_down_02,Baseline_2,CRH,2
DLPFC_down_02,Baseline_2,CSF1,1
DLPFC_down_02,Baseline_2,CSPG4,2
DLPFC_down_02,Baseline_2,CTF1,2
DLPFC_down_02,Baseline_2,CX3CL1,1
DLPFC_down_02,Baseline_2,CXCL10,1
DLPFC_down_02,Baseline_2,CXCL12,2
DLPFC_down_02,Baseline_2,CXCL13,1
DLPFC_down_02,Baseline_2,CXCL3,1
DLPFC_down_02,Baseline_2,CXCL5,1
DLPFC_down_02,Baseline_2,CXCL9,2
DLPFC_down_02,Baseline_2,CYP21A2,1
DLPFC_down_02,Baseline_2,CYP27B1,1
DLPFC_down_02,Baseline_2,DAGLA,3
DLPFC_down_02,Baseline_2,DAGLB,1
DLPFC_down_02,Baseline_2,DDC,1
DLPFC_down_02,Baseline_2,DHCR24,1
DLPFC_down_02,Baseline_2,DHCR7,4
DLPFC_down_02,Baseline_2,DIO3,1
DLPFC_down_02,Baseline_2,DLK1,1
DLPFC_down_02,Baseline_2,DLL1,4
DLPFC_down_02,Baseline_2,DLL3,4
DLPFC_down_02,Baseline_2,DLL4,1
DLPFC_down_02,Baseline_2,DPEP3,1
DLPFC_down_02,Baseline_2,DSC1,1
DLPFC_down_02,Baseline_2,DSC2,1
DLPFC_down_02,Baseline_2,EDN1,1
DLPFC_down_02,Baseline_2,EDN3,1
DLPFC_down_02,Baseline_2,EFNA1,7
DLPFC_down_02,Baseline_2,EFNA3,7
DLPFC_down_02,Baseline_2,EFNA4,6
DLPFC_down_02,Baseline_2,EFNA5,8
DLPFC_down_02,Baseline_2,EFNB1,5
DLPFC_down_02,Baseline_2,EFNB2,5
DLPFC_down_02,Baseline_2,EFNB3,6
DLPFC_down_02,Baseline_2,EGF,1
DLPFC_down_02,Baseline_2,ENTPD1,3
DLPFC_down_02,Baseline_2,ESAM,1
DLPFC_down_02,Baseline_2,F11R,3
DLPFC_down_02,Baseline_2,FDX2,1
DLPFC_down_02,Baseline_2,FGF1,4
DLPFC_down_02,Baseline_2,FGF16,1
DLPFC_down_02,Baseline_2,FGF17,2
DLPFC_down_02,Baseline_2,FGF18,2
DLPFC_down_02,Baseline_2,FGF2,4
DLPFC_down_02,Baseline_2,FGF20,3
DLPFC_down_02,Baseline_2,FGF7,2
DLPFC_down_02,Baseline_2,FGF9,4
DLPFC_down_02,Baseline_2,FLRT1,8
DLPFC_down_02,Baseline_2,FLRT2,8
DLPFC_down_02,Baseline_2,FLRT3,7
DLPFC_down_02,Baseline_2,FN1,7
DLPFC_down_02,Baseline_2,FREM2,1
DLPFC_down_02,Baseline_2,GAD1,14
DLPFC_down_02,Baseline_2,GAD2,14
DLPFC_down_02,Baseline_2,GAL,3
DLPFC_down_02,Baseline_2,GAS6,3
DLPFC_down_02,Baseline_2,GDF10,2
DLPFC_down_02,Baseline_2,GDF11,4
DLPFC_down_02,Baseline_2,GDF15,1
DLPFC_down_02,Baseline_2,GDF5,1
DLPFC_down_02,Baseline_2,GDF6,1
DLPFC_down_02,Baseline_2,GDF7,4
DLPFC_down_02,Baseline_2,GDF9,1
DLPFC_down_02,Baseline_2,GGT1,1
DLPFC_down_02,Baseline_2,GGT5,1
DLPFC_down_02,Baseline_2,GJA5,1
DLPFC_down_02,Baseline_2,GJC1,2
DLPFC_down_02,Baseline_2,GLS,15
DLPFC_down_02,Baseline_2,GLS2,21
DLPFC_down_02,Baseline_2,GRN,1
DLPFC_down_02,Baseline_2,GZMA,2
DLPFC_down_02,Baseline_2,HDC,1
DLPFC_down_02,Baseline_2,HGF,1
DLPFC_down_02,Baseline_2,HLA-DMA,1
DLPFC_down_02,Baseline_2,HLA-DMB,1
DLPFC_down_02,Baseline_2,HLA-DOA,1
DLPFC_down_02,Baseline_2,HLA-DPA1,1
DLPFC_down_02,Baseline_2,HLA-DPB1,1
DLPFC_down_02,Baseline_2,HLA-DQA1,1
DLPFC_down_02,Baseline_2,HLA-DQA2,1
DLPFC_down_02,Baseline_2,HLA-DQB1,1
DLPFC_down_02,Baseline_2,HLA-DRA,1
DLPFC_down_02,Baseline_2,HLA-DRB1,1
DLPFC_down_02,Baseline_2,HLA-DRB5,1
DLPFC_down_02,Baseline_2,HLA-F,4
DLPFC_down_02,Baseline_2,HSD17B1,2
DLPFC_down_02,Baseline_2,HSD17B12,1
DLPFC_down_02,Baseline_2,HSPG2,1
DLPFC_down_02,Baseline_2,ICAM1,3
DLPFC_down_02,Baseline_2,ICAM2,3
DLPFC_down_02,Baseline_2,ICAM5,1
DLPFC_down_02,Baseline_2,IGF1,4
DLPFC_down_02,Baseline_2,IGFBP3,1
DLPFC_down_02,Baseline_2,IL11,2
DLPFC_down_02,Baseline_2,IL16,1
DLPFC_down_02,Baseline_2,IL33,1
DLPFC_down_02,Baseline_2,IL34,1
DLPFC_down_02,Baseline_2,INHA,2
DLPFC_down_02,Baseline_2,INHBA,3
DLPFC_down_02,Baseline_2,INHBB,4
DLPFC_down_02,Baseline_2,INSL3,1
DLPFC_down_02,Baseline_2,ITGA9,1
DLPFC_down_02,Baseline_2,ITGAV,3
DLPFC_down_02,Baseline_2,ITGB1,3
DLPFC_down_02,Baseline_2,ITGB5,1
DLPFC_down_02,Baseline_2,JAG1,4
DLPFC_down_02,Baseline_2,JAG2,4
DLPFC_down_02,Baseline_2,JAM2,6
DLPFC_down_02,Baseline_2,JAM3,4
DLPFC_down_02,Baseline_2,KITLG,1
DLPFC_down_02,Baseline_2,KLK5,1
DLPFC_down_02,Baseline_2,KLK6,2
DLPFC_down_02,Baseline_2,KLK7,1
DLPFC_down_02,Baseline_2,L1CAM,4
DLPFC_down_02,Baseline_2,LAMA1,9
DLPFC_down_02,Baseline_2,LAMA2,14
DLPFC_down_02,Baseline_2,LAMA3,8
DLPFC_down_02,Baseline_2,LAMA4,15
DLPFC_down_02,Baseline_2,LAMA5,15
DLPFC_down_02,Baseline_2,LAMB1,12
DLPFC_down_02,Baseline_2,LAMB2,15
DLPFC_down_02,Baseline_2,LAMB3,14
DLPFC_down_02,Baseline_2,LAMC1,15
DLPFC_down_02,Baseline_2,LAMC2,7
DLPFC_down_02,Baseline_2,LAMC3,12
DLPFC_down_02,Baseline_2,LEP,1
DLPFC_down_02,Baseline_2,LGALS9,6
DLPFC_down_02,Baseline_2,LIPA,2
DLPFC_down_02,Baseline_2,LPAR1,1
DLPFC_down_02,Baseline_2,LPAR2,1
DLPFC_down_02,Baseline_2,LPAR3,1
DLPFC_down_02,Baseline_2,LRFN4,3
DLPFC_down_02,Baseline_2,LRFN5,3
DLPFC_down_02,Baseline_2,LRRC4,1
DLPFC_down_02,Baseline_2,LRRC4B,3
DLPFC_down_02,Baseline_2,LRRC4C,2
DLPFC_down_02,Baseline_2,LTA4H,2
DLPFC_down_02,Baseline_2,LTB,1
DLPFC_down_02,Baseline_2,LTC4S,1
DLPFC_down_02,Baseline_2,MAG,1
DLPFC_down_02,Baseline_2,MDK,10
DLPFC_down_02,Baseline_2,MICA,1
DLPFC_down_02,Baseline_2,MICB,1
DLPFC_down_02,Baseline_2,MIF,1
DLPFC_down_02,Baseline_2,MMP2,2
DLPFC_down_02,Baseline_2,MPZ,1
DLPFC_down_02,Baseline_2,MPZL1,1
DLPFC_down_02,Baseline_2,MSTN,1
DLPFC_down_02,Baseline_2,NAMPT,2
DLPFC_down_02,Baseline_2,NCAM1,1
DLPFC_down_02,Baseline_2,NCAM2,1
DLPFC_down_02,Baseline_2,NECTIN1,2
DLPFC_down_02,Baseline_2,NECTIN2,1
DLPFC_down_02,Baseline_2,NECTIN3,4
DLPFC_down_02,Baseline_2,NEGR1,1
DLPFC_down_02,Baseline_2,NFASC,2
DLPFC_down_02,Baseline_2,NMU,1
DLPFC_down_02,Baseline_2,NPNT,2
DLPFC_down_02,Baseline_2,NPPA,1
DLPFC_down_02,Baseline_2,NPPC,1
DLPFC_down_02,Baseline_2,NPY,4
DLPFC_down_02,Baseline_2,NRG1,5
DLPFC_down_02,Baseline_2,NRG2,3
DLPFC_down_02,Baseline_2,NRG3,2
DLPFC_down_02,Baseline_2,NRG4,1
DLPFC_down_02,Baseline_2,NRTN,1
DLPFC_down_02,Baseline_2,NRXN1,11
DLPFC_down_02,Baseline_2,NRXN2,12
DLPFC_down_02,Baseline_2,NRXN3,11
DLPFC_down_02,Baseline_2,NT5E,3
DLPFC_down_02,Baseline_2,NTF3,1
DLPFC_down_02,Baseline_2,NTN1,4
DLPFC_down_02,Baseline_2,NTN4,3
DLPFC_down_02,Baseline_2,NTS,1
DLPFC_down_02,Baseline_2,OCLN,1
DLPFC_down_02,Baseline_2,PCDHA1,1
DLPFC_down_02,Baseline_2,PCDHB10,1
DLPFC_down_02,Baseline_2,PCDHB13,1
DLPFC_down_02,Baseline_2,PCDHB14,1
DLPFC_down_02,Baseline_2,PCDHB2,1
DLPFC_down_02,Baseline_2,PCDHB3,1
DLPFC_down_02,Baseline_2,PCDHB4,1
DLPFC_down_02,Baseline_2,PCDHB6,1
DLPFC_down_02,Baseline_2,PCDHB9,1
DLPFC_down_02,Baseline_2,PCDHGA1,1
DLPFC_down_02,Baseline_2,PDGFA,2
DLPFC_down_02,Baseline_2,PDGFB,2
DLPFC_down_02,Baseline_2,PDGFC,1
DLPFC_down_02,Baseline_2,PDGFD,1
DLPFC_down_02,Baseline_2,PECAM1,3
DLPFC_down_02,Baseline_2,PENK,3
DLPFC_down_02,Baseline_2,PGF,1
DLPFC_down_02,Baseline_2,PNMT,6
DLPFC_down_02,Baseline_2,PNOC,1
DLPFC_down_02,Baseline_2,POMC,5
DLPFC_down_02,Baseline_2,POSTN,2
DLPFC_down_02,Baseline_2,PROS1,3
DLPFC_down_02,Baseline_2,PRSS3,5
DLPFC_down_02,Baseline_2,PSPN,1
DLPFC_down_02,Baseline_2,PTGES,3
DLPFC_down_02,Baseline_2,PTGES2,4
DLPFC_down_02,Baseline_2,PTGIS,1
DLPFC_down_02,Baseline_2,PTGR1,2
DLPFC_down_02,Baseline_2,PTHLH,1
DLPFC_down_02,Baseline_2,PTPRC,2
DLPFC_down_02,Baseline_2,PTPRM,1
DLPFC_down_02,Baseline_2,PTPRS,2
DLPFC_down_02,Baseline_2,PYY,1
DLPFC_down_02,Baseline_2,RARRES2,2
DLPFC_down_02,Baseline_2,RBP4,1
DLPFC_down_02,Baseline_2,RELN,4
DLPFC_down_02,Baseline_2,RTN4R,1
DLPFC_down_02,Baseline_2,SAA1,1
DLPFC_down_02,Baseline_2,SDC1,1
DLPFC_down_02,Baseline_2,SDC2,1
DLPFC_down_02,Baseline_2,SELE,1
DLPFC_down_02,Baseline_2,SELL,3
DLPFC_down_02,Baseline_2,SELPLG,1
DLPFC_down_02,Baseline_2,SEMA3A,4
DLPFC_down_02,Baseline_2,SEMA3B,6
DLPFC_down_02,Baseline_2,SEMA3C,7
DLPFC_down_02,Baseline_2,SEMA3D,1
DLPFC_down_02,Baseline_2,SEMA3E,1
