,ligand,receptor,annotation,LR
422,FGF18,FGFR2,Secreted Signaling,FGF18_FGFR2
423,FGF18,FGFR3,Secreted Signaling,FGF18_FGFR3
424,FGF18,FGFR4,Secreted Signaling,FGF18_FGFR4
425,FGF9,FGFR1,Secreted Signaling,FGF9_FGFR1
426,FGF9,FGFR2,Secreted Signaling,FGF9_FGFR2
427,FGF9,FGFR3,Secreted Signaling,FGF9_FGFR3
428,FGF9,FGFR4,Secreted Signaling,FGF9_FGFR4
429,FGF20,FGFR1,Secreted Signaling,FGF20_FGFR1
430,FGF20,FGFR2,Secreted Signaling,FGF20_FGFR2
431,FGF20,FGFR3,Secreted Signaling,FGF20_FGFR3
432,FGF20,FGFR4,Secreted Signaling,FGF20_FGFR4
433,FGF16,FGFR1,Secreted Signaling,FGF16_FGFR1
434,FGF16,FGFR2,Secreted Signaling,FGF16_FGFR2
435,FGF16,FGFR3,Secreted Signaling,FGF16_FGFR3
436,FGF16,FGFR4,Secreted Signaling,FGF16_FGFR4
437,FGF19,FGFR1,Secreted Signaling,FGF19_FGFR1
438,FGF19,FGFR2,Secreted Signaling,FGF19_FGFR2
439,FGF19,FGFR3,Secreted Signaling,FGF19_FGFR3
440,FGF19,FGFR4,Secreted Signaling,FGF19_FGFR4
441,FGF21,FGFR1,Secreted Signaling,FGF21_FGFR1
442,FGF21,FGFR3,Secreted Signaling,FGF21_FGFR3
443,FGF23,FGFR1,Secreted Signaling,FGF23_FGFR1
444,FGF23,FGFR3,Secreted Signaling,FGF23_FGFR3
445,FGF23,FGFR4,Secreted Signaling,FGF23_FGFR4
446,PDGFA,PDGFRA,Secreted Signaling,PDGFA_PDGFRA
447,PDGFA,PDGFRB,Secreted Signaling,PDGFA_PDGFRB
448,PDGFB,PDGFRA,Secreted Signaling,PDGFB_PDGFRA
449,PDGFB,PDGFRB,Secreted Signaling,PDGFB_PDGFRB
450,PDGFC,PDGFRA,Secreted Signaling,PDGFC_PDGFRA
451,PDGFD,PDGFRB,Secreted Signaling,PDGFD_PDGFRB
452,VEGFA,FLT1,Secreted Signaling,VEGFA_FLT1
453,VEGFA,KDR,Secreted Signaling,VEGFA_KDR
454,VEGFB,FLT1,Secreted Signaling,VEGFB_FLT1
455,VEGFC,FLT4,Secreted Signaling,VEGFC_FLT4
456,VEGFC,KDR,Secreted Signaling,VEGFC_KDR
457,VEGFD,FLT4,Secreted Signaling,VEGFD_FLT4
458,VEGFD,KDR,Secreted Signaling,VEGFD_KDR
459,PGF,FLT1,Secreted Signaling,PGF_FLT1
460,IGF1,IGF1R,Secreted Signaling,IGF1_IGF1R
461,IGF2,IGF1R,Secreted Signaling,IGF2_IGF1R
462,IGF2,IGF2R,Secreted Signaling,IGF2_IGF2R
463,IGF1,ITGAV,Secreted Signaling,IGF1_ITGAV
464,IGF1,ITGB3,Secreted Signaling,IGF1_ITGB3
465,IGF1,ITGA6,Secreted Signaling,IGF1_ITGA6
466,IGF1,ITGB4,Secreted Signaling,IGF1_ITGB4
467,IGF2,ITGAV,Secreted Signaling,IGF2_ITGAV
468,IGF2,ITGB3,Secreted Signaling,IGF2_ITGB3
469,IGF2,ITGA6,Secreted Signaling,IGF2_ITGA6
470,IGF2,ITGB4,Secreted Signaling,IGF2_ITGB4
471,IGFL3,IGFLR1,Secreted Signaling,IGFL3_IGFLR1
472,INS,INSR,Secreted Signaling,INS_INSR
473,APLN,APLNR,Secreted Signaling,APLN_APLNR
474,DHH,PTCH1,Secreted Signaling,DHH_PTCH1
475,DHH,SMO,Secreted Signaling,DHH_SMO
476,IHH,PTCH1,Secreted Signaling,IHH_PTCH1
477,IHH,SMO,Secreted Signaling,IHH_SMO
478,SHH,PTCH1,Secreted Signaling,SHH_PTCH1
479,SHH,SMO,Secreted Signaling,SHH_SMO
480,DHH,PTCH2,Secreted Signaling,DHH_PTCH2
481,IHH,PTCH2,Secreted Signaling,IHH_PTCH2
482,SHH,PTCH2,Secreted Signaling,SHH_PTCH2
483,CCL5,CCR1,Secreted Signaling,CCL5_CCR1
484,CCL3,CCR1,Secreted Signaling,CCL3_CCR1
485,CCL3L1,CCR1,Secreted Signaling,CCL3L1_CCR1
486,CCL8,CCR1,Secreted Signaling,CCL8_CCR1
487,CCL7,CCR1,Secreted Signaling,CCL7_CCR1
488,CCL13,CCR1,Secreted Signaling,CCL13_CCR1
489,CCL14,CCR1,Secreted Signaling,CCL14_CCR1
490,CCL15,CCR1,Secreted Signaling,CCL15_CCR1
491,CCL16,CCR1,Secreted Signaling,CCL16_CCR1
492,CCL23,CCR1,Secreted Signaling,CCL23_CCR1
493,CCL8,CCR2,Secreted Signaling,CCL8_CCR2
494,CCL7,CCR2,Secreted Signaling,CCL7_CCR2
495,CCL2,CCR2,Secreted Signaling,CCL2_CCR2
496,CCL27,CCR2,Secreted Signaling,CCL27_CCR2
497,CCL5,CCR3,Secreted Signaling,CCL5_CCR3
498,CCL7,CCR3,Secreted Signaling,CCL7_CCR3
499,CCL11,CCR3,Secreted Signaling,CCL11_CCR3
500,CCL24,CCR3,Secreted Signaling,CCL24_CCR3
501,CCL26,CCR3,Secreted Signaling,CCL26_CCR3
502,CCL28,CCR3,Secreted Signaling,CCL28_CCR3
503,CCL27,CCR3,Secreted Signaling,CCL27_CCR3
504,CCL17,CCR4,Secreted Signaling,CCL17_CCR4
505,CCL22,CCR4,Secreted Signaling,CCL22_CCR4
506,CCL5,CCR4,Secreted Signaling,CCL5_CCR4
507,CCL4,CCR5,Secreted Signaling,CCL4_CCR5
508,CCL5,CCR5,Secreted Signaling,CCL5_CCR5
509,CCL3,CCR5,Secreted Signaling,CCL3_CCR5
510,CCL20,CCR6,Secreted Signaling,CCL20_CCR6
511,CCL19,CCR7,Secreted Signaling,CCL19_CCR7
512,CCL21,CCR7,Secreted Signaling,CCL21_CCR7
513,CCL19,ACKR4,Secreted Signaling,CCL19_ACKR4
514,CCL21,ACKR4,Secreted Signaling,CCL21_ACKR4
515,CCL1,CCR8,Secreted Signaling,CCL1_CCR8
516,CCL25,CCR9,Secreted Signaling,CCL25_CCR9
517,CCL25,ACKR4,Secreted Signaling,CCL25_ACKR4
518,CCL28,CCR10,Secreted Signaling,CCL28_CCR10
519,CCL27,CCR10,Secreted Signaling,CCL27_CCR10
520,CCL1,ACKR4,Secreted Signaling,CCL1_ACKR4
521,CCL13,ACKR4,Secreted Signaling,CCL13_ACKR4
522,CCL8,ACKR4,Secreted Signaling,CCL8_ACKR4
523,CCL1,ACKR1,Secreted Signaling,CCL1_ACKR1
524,CCL2,ACKR1,Secreted Signaling,CCL2_ACKR1
525,CCL5,ACKR1,Secreted Signaling,CCL5_ACKR1
526,CCL8,ACKR1,Secreted Signaling,CCL8_ACKR1
527,CCL13,ACKR1,Secreted Signaling,CCL13_ACKR1
528,CCL14,ACKR1,Secreted Signaling,CCL14_ACKR1
529,CCL16,ACKR1,Secreted Signaling,CCL16_ACKR1
530,CCL18,ACKR1,Secreted Signaling,CCL18_ACKR1
531,CXCL1,ACKR1,Secreted Signaling,CXCL1_ACKR1
532,CXCL2,ACKR1,Secreted Signaling,CXCL2_ACKR1
533,CXCL3,ACKR1,Secreted Signaling,CXCL3_ACKR1
534,CXCL5,ACKR1,Secreted Signaling,CXCL5_ACKR1
535,CXCL6,ACKR1,Secreted Signaling,CXCL6_ACKR1
536,CXCL8,ACKR1,Secreted Signaling,CXCL8_ACKR1
537,CXCL9,ACKR1,Secreted Signaling,CXCL9_ACKR1
538,CXCL10,ACKR1,Secreted Signaling,CXCL10_ACKR1
539,CXCL11,ACKR1,Secreted Signaling,CXCL11_ACKR1
540,CXCL13,ACKR1,Secreted Signaling,CXCL13_ACKR1
541,CCL2,ACKR2,Secreted Signaling,CCL2_ACKR2
542,CCL3,ACKR2,Secreted Signaling,CCL3_ACKR2
543,CCL3L1,ACKR2,Secreted Signaling,CCL3L1_ACKR2
544,CCL4,ACKR2,Secreted Signaling,CCL4_ACKR2
545,CCL5,ACKR2,Secreted Signaling,CCL5_ACKR2
546,CCL7,ACKR2,Secreted Signaling,CCL7_ACKR2
547,CCL8,ACKR2,Secreted Signaling,CCL8_ACKR2
548,CCL7,ACKR1,Secreted Signaling,CCL7_ACKR1
549,CCL11,ACKR1,Secreted Signaling,CCL11_ACKR1
550,CCL11,ACKR2,Secreted Signaling,CCL11_ACKR2
551,CCL13,ACKR2,Secreted Signaling,CCL13_ACKR2
552,CCL22,ACKR2,Secreted Signaling,CCL22_ACKR2
553,CCL24,ACKR2,Secreted Signaling,CCL24_ACKR2
554,CCL26,ACKR2,Secreted Signaling,CCL26_ACKR2
555,CCL17,ACKR1,Secreted Signaling,CCL17_ACKR1
556,CCL14,ACKR2,Secreted Signaling,CCL14_ACKR2
557,CCL17,ACKR2,Secreted Signaling,CCL17_ACKR2
558,CXCL1,CXCR1,Secreted Signaling,CXCL1_CXCR1
559,CXCL2,CXCR1,Secreted Signaling,CXCL2_CXCR1
560,CXCL3,CXCR1,Secreted Signaling,CXCL3_CXCR1
561,CXCL5,CXCR1,Secreted Signaling,CXCL5_CXCR1
562,CXCL6,CXCR1,Secreted Signaling,CXCL6_CXCR1
563,CXCL1,CXCR2,Secreted Signaling,CXCL1_CXCR2
564,CXCL2,CXCR2,Secreted Signaling,CXCL2_CXCR2
565,CXCL3,CXCR2,Secreted Signaling,CXCL3_CXCR2
566,CXCL5,CXCR2,Secreted Signaling,CXCL5_CXCR2
567,CXCL6,CXCR2,Secreted Signaling,CXCL6_CXCR2
568,CXCL8,CXCR2,Secreted Signaling,CXCL8_CXCR2
569,PPBP,CXCR2,Secreted Signaling,PPBP_CXCR2
570,PF4V1,CXCR3,Secreted Signaling,PF4V1_CXCR3
571,CXCL9,CXCR3,Secreted Signaling,CXCL9_CXCR3
572,CXCL10,CXCR3,Secreted Signaling,CXCL10_CXCR3
573,CXCL11,CXCR3,Secreted Signaling,CXCL11_CXCR3
574,CXCL13,CXCR3,Secreted Signaling,CXCL13_CXCR3
575,PF4,CXCR3,Secreted Signaling,PF4_CXCR3
576,CXCL12,CXCR4,Secreted Signaling,CXCL12_CXCR4
577,CXCL11,ACKR3,Secreted Signaling,CXCL11_ACKR3
578,CXCL12,ACKR3,Secreted Signaling,CXCL12_ACKR3
579,CXCL13,CXCR5,Secreted Signaling,CXCL13_CXCR5
580,CXCL16,CXCR6,Secreted Signaling,CXCL16_CXCR6
581,MIF,CD74,Secreted Signaling,MIF_CD74
582,MIF,CXCR4,Secreted Signaling,MIF_CXCR4
583,MIF,CD44,Secreted Signaling,MIF_CD44
584,MIF,CXCR2,Secreted Signaling,MIF_CXCR2
585,MIF,ACKR3,Secreted Signaling,MIF_ACKR3
586,CX3CL1,CX3CR1,Secreted Signaling,CX3CL1_CX3CR1
587,XCL1,XCR1,Secreted Signaling,XCL1_XCR1
588,XCL2,XCR1,Secreted Signaling,XCL2_XCR1
589,IL2,IL2RA,Secreted Signaling,IL2_IL2RA
590,IL2,IL2RB,Secreted Signaling,IL2_IL2RB
591,IL2,IL2RG,Secreted Signaling,IL2_IL2RG
592,IL4,IL2RG,Secreted Signaling,IL4_IL2RG
593,IL4,IL4R,Secreted Signaling,IL4_IL4R
594,IL7,IL2RG,Secreted Signaling,IL7_IL2RG
595,IL7,IL7R,Secreted Signaling,IL7_IL7R
596,IL9,IL2RG,Secreted Signaling,IL9_IL2RG
597,IL9,IL9R,Secreted Signaling,IL9_IL9R
598,IL15,IL15RA,Secreted Signaling,IL15_IL15RA
599,IL15,IL2RB,Secreted Signaling,IL15_IL2RB
600,IL15,IL2RG,Secreted Signaling,IL15_IL2RG
601,IL21,IL2RG,Secreted Signaling,IL21_IL2RG
602,IL21,IL21R,Secreted Signaling,IL21_IL21R
603,TSLP,CRLF2,Secreted Signaling,TSLP_CRLF2
604,TSLP,IL7R,Secreted Signaling,TSLP_IL7R
605,IL3,IL3RA,Secreted Signaling,IL3_IL3RA
606,IL3,CSF2RB,Secreted Signaling,IL3_CSF2RB
607,IL5,CSF2RB,Secreted Signaling,IL5_CSF2RB
608,IL5,IL5RA,Secreted Signaling,IL5_IL5RA
609,CSF2,CSF2RB,Secreted Signaling,CSF2_CSF2RB
610,CSF2,CSF2RA,Secreted Signaling,CSF2_CSF2RA
611,IL4,IL13RA1,Secreted Signaling,IL4_IL13RA1
612,IL4,IL13RA2,Secreted Signaling,IL4_IL13RA2
613,IL13,IL13RA1,Secreted Signaling,IL13_IL13RA1
614,IL13,IL4R,Secreted Signaling,IL13_IL4R
615,IL13,IL13RA2,Secreted Signaling,IL13_IL13RA2
616,IL6,IL6ST,Secreted Signaling,IL6_IL6ST
617,IL6,IL6R,Secreted Signaling,IL6_IL6R
618,IL11,IL11RA,Secreted Signaling,IL11_IL11RA
619,IL11,IL6ST,Secreted Signaling,IL11_IL6ST
620,IL12B,IL12RB1,Secreted Signaling,IL12B_IL12RB1
621,IL12B,IL12RB2,Secreted Signaling,IL12B_IL12RB2
622,IL12A,IL12RB1,Secreted Signaling,IL12A_IL12RB1
623,IL12A,IL12RB2,Secreted Signaling,IL12A_IL12RB2
624,IL12B,IL23R,Secreted Signaling,IL12B_IL23R
625,IL23A,IL12RB1,Secreted Signaling,IL23A_IL12RB1
626,IL23A,IL23R,Secreted Signaling,IL23A_IL23R
627,IL27,IL27RA,Secreted Signaling,IL27_IL27RA
628,IL27,IL6ST,Secreted Signaling,IL27_IL6ST
629,EBI3,IL27RA,Secreted Signaling,EBI3_IL27RA
630,EBI3,IL6ST,Secreted Signaling,EBI3_IL6ST
631,IL31,IL31RA,Secreted Signaling,IL31_IL31RA
632,IL31,OSMR,Secreted Signaling,IL31_OSMR
633,CNTF,IL6ST,Secreted Signaling,CNTF_IL6ST
634,CNTF,LIFR,Secreted Signaling,CNTF_LIFR
635,CNTF,CNTFR,Secreted Signaling,CNTF_CNTFR
636,CLCF1,IL6ST,Secreted Signaling,CLCF1_IL6ST
637,CLCF1,LIFR,Secreted Signaling,CLCF1_LIFR
638,CLCF1,CNTFR,Secreted Signaling,CLCF1_CNTFR
639,CTF1,IL6ST,Secreted Signaling,CTF1_IL6ST
640,CTF1,LIFR,Secreted Signaling,CTF1_LIFR
641,LIF,IL6ST,Secreted Signaling,LIF_IL6ST
642,LIF,LIFR,Secreted Signaling,LIF_LIFR
643,OSM,IL6ST,Secreted Signaling,OSM_IL6ST
644,OSM,LIFR,Secreted Signaling,OSM_LIFR
645,OSM,OSMR,Secreted Signaling,OSM_OSMR
646,IL10,IL10RA,Secreted Signaling,IL10_IL10RA
647,IL10,IL10RB,Secreted Signaling,IL10_IL10RB
648,IL19,IL20RA,Secreted Signaling,IL19_IL20RA
649,IL19,IL20RB,Secreted Signaling,IL19_IL20RB
650,IL20,IL20RA,Secreted Signaling,IL20_IL20RA
651,IL20,IL20RB,Secreted Signaling,IL20_IL20RB
652,IL24,IL20RA,Secreted Signaling,IL24_IL20RA
653,IL24,IL20RB,Secreted Signaling,IL24_IL20RB
654,IL20,IL22RA1,Secreted Signaling,IL20_IL22RA1
655,IL24,IL22RA1,Secreted Signaling,IL24_IL22RA1
656,IL22,IL10RB,Secreted Signaling,IL22_IL10RB
657,IL22,IL22RA1,Secreted Signaling,IL22_IL22RA1
658,IL26,IL10RB,Secreted Signaling,IL26_IL10RB
659,IL26,IL20RA,Secreted Signaling,IL26_IL20RA
660,IL1A,IL1RAP,Secreted Signaling,IL1A_IL1RAP
661,IL1A,IL1R1,Secreted Signaling,IL1A_IL1R1
662,IL1B,IL1RAP,Secreted Signaling,IL1B_IL1RAP
663,IL1B,IL1R1,Secreted Signaling,IL1B_IL1R1
664,IL1A,IL1R2,Secreted Signaling,IL1A_IL1R2
665,IL1B,IL1R2,Secreted Signaling,IL1B_IL1R2
666,IL36A,IL1RAP,Secreted Signaling,IL36A_IL1RAP
667,IL36A,IL1RL2,Secreted Signaling,IL36A_IL1RL2
668,IL36B,IL1RAP,Secreted Signaling,IL36B_IL1RAP
669,IL36B,IL1RL2,Secreted Signaling,IL36B_IL1RL2
670,IL36G,IL1RAP,Secreted Signaling,IL36G_IL1RAP
671,IL36G,IL1RL2,Secreted Signaling,IL36G_IL1RL2
672,IL1F10,IL1RAP,Secreted Signaling,IL1F10_IL1RAP
673,IL1F10,IL1RL2,Secreted Signaling,IL1F10_IL1RL2
674,IL37,IL18RAP,Secreted Signaling,IL37_IL18RAP
675,IL37,IL18R1,Secreted Signaling,IL37_IL18R1
676,IL18,IL18RAP,Secreted Signaling,IL18_IL18RAP
677,IL18,IL18R1,Secreted Signaling,IL18_IL18R1
678,IL33,IL1RAP,Secreted Signaling,IL33_IL1RAP
679,IL33,IL1RL1,Secreted Signaling,IL33_IL1RL1
680,IL17A,IL17RA,Secreted Signaling,IL17A_IL17RA
681,IL17A,IL17RC,Secreted Signaling,IL17A_IL17RC
682,IL17F,IL17RA,Secreted Signaling,IL17F_IL17RA
683,IL17F,IL17RC,Secreted Signaling,IL17F_IL17RC
684,IL17B,IL17RB,Secreted Signaling,IL17B_IL17RB
685,IL17C,IL17RA,Secreted Signaling,IL17C_IL17RA
686,IL17C,IL17RE,Secreted Signaling,IL17C_IL17RE
687,IL25,IL17RA,Secreted Signaling,IL25_IL17RA
688,IL25,IL17RB,Secreted Signaling,IL25_IL17RB
689,IL34,CSF1R,Secreted Signaling,IL34_CSF1R
690,CSF1,CSF1R,Secreted Signaling,CSF1_CSF1R
691,IL16,CD4,Secreted Signaling,IL16_CD4
692,EPO,EPOR,Secreted Signaling,EPO_EPOR
693,GH1,GHR,Secreted Signaling,GH1_GHR
694,PRL,PRLR,Secreted Signaling,PRL_PRLR
695,THPO,MPL,Secreted Signaling,THPO_MPL
696,CSF3,CSF3R,Secreted Signaling,CSF3_CSF3R
697,IFNB1,IFNAR1,Secreted Signaling,IFNB1_IFNAR1
698,IFNB1,IFNAR2,Secreted Signaling,IFNB1_IFNAR2
699,IFNW1,IFNAR1,Secreted Signaling,IFNW1_IFNAR1
700,IFNW1,IFNAR2,Secreted Signaling,IFNW1_IFNAR2
701,IFNK,IFNAR1,Secreted Signaling,IFNK_IFNAR1
702,IFNK,IFNAR2,Secreted Signaling,IFNK_IFNAR2
703,IFNE,IFNAR1,Secreted Signaling,IFNE_IFNAR1
704,IFNE,IFNAR2,Secreted Signaling,IFNE_IFNAR2
705,IFNA1,IFNAR1,Secreted Signaling,IFNA1_IFNAR1
706,IFNA1,IFNAR2,Secreted Signaling,IFNA1_IFNAR2
707,IFNA2,IFNAR1,Secreted Signaling,IFNA2_IFNAR1
708,IFNA2,IFNAR2,Secreted Signaling,IFNA2_IFNAR2
709,IFNA4,IFNAR1,Secreted Signaling,IFNA4_IFNAR1
710,IFNA4,IFNAR2,Secreted Signaling,IFNA4_IFNAR2
711,IFNA5,IFNAR1,Secreted Signaling,IFNA5_IFNAR1
712,IFNA5,IFNAR2,Secreted Signaling,IFNA5_IFNAR2
713,IFNA6,IFNAR1,Secreted Signaling,IFNA6_IFNAR1
714,IFNA6,IFNAR2,Secreted Signaling,IFNA6_IFNAR2
715,IFNA7,IFNAR1,Secreted Signaling,IFNA7_IFNAR1
716,IFNA7,IFNAR2,Secreted Signaling,IFNA7_IFNAR2
717,IFNA8,IFNAR1,Secreted Signaling,IFNA8_IFNAR1
718,IFNA8,IFNAR2,Secreted Signaling,IFNA8_IFNAR2
719,IFNA10,IFNAR1,Secreted Signaling,IFNA10_IFNAR1
720,IFNA10,IFNAR2,Secreted Signaling,IFNA10_IFNAR2
721,IFNA13,IFNAR1,Secreted Signaling,IFNA13_IFNAR1
722,IFNA13,IFNAR2,Secreted Signaling,IFNA13_IFNAR2
723,IFNA14,IFNAR1,Secreted Signaling,IFNA14_IFNAR1
724,IFNA14,IFNAR2,Secreted Signaling,IFNA14_IFNAR2
725,IFNA16,IFNAR1,Secreted Signaling,IFNA16_IFNAR1
726,IFNA16,IFNAR2,Secreted Signaling,IFNA16_IFNAR2
727,IFNA17,IFNAR1,Secreted Signaling,IFNA17_IFNAR1
728,IFNA17,IFNAR2,Secreted Signaling,IFNA17_IFNAR2
729,IFNA21,IFNAR1,Secreted Signaling,IFNA21_IFNAR1
730,IFNA21,IFNAR2,Secreted Signaling,IFNA21_IFNAR2
731,IFNG,IFNGR1,Secreted Signaling,IFNG_IFNGR1
732,IFNG,IFNGR2,Secreted Signaling,IFNG_IFNGR2
733,TNF,TNFRSF1A,Secreted Signaling,TNF_TNFRSF1A
734,TNF,TNFRSF1B,Secreted Signaling,TNF_TNFRSF1B
735,LTA,TNFRSF1A,Secreted Signaling,LTA_TNFRSF1A
736,LTA,TNFRSF1B,Secreted Signaling,LTA_TNFRSF1B
737,LTA,TNFRSF14,Secreted Signaling,LTA_TNFRSF14
738,LTB,LTBR,Secreted Signaling,LTB_LTBR
739,LTA,LTBR,Secreted Signaling,LTA_LTBR
740,TNFSF14,LTBR,Secreted Signaling,TNFSF14_LTBR
741,TNFSF14,TNFRSF14,Secreted Signaling,TNFSF14_TNFRSF14
742,FASLG,FAS,Secreted Signaling,FASLG_FAS
743,TNFSF15,TNFRSF25,Secreted Signaling,TNFSF15_TNFRSF25
744,TNFSF10,TNFRSF10A,Secreted Signaling,TNFSF10_TNFRSF10A
745,TNFSF10,TNFRSF10B,Secreted Signaling,TNFSF10_TNFRSF10B
746,EDA,EDAR,Secreted Signaling,EDA_EDAR
747,EDA,EDA2R,Secreted Signaling,EDA_EDA2R
748,NGF,NGFR,Secreted Signaling,NGF_NGFR
749,KLK3,NGFR,Secreted Signaling,KLK3_NGFR
750,TNFSF11,TNFRSF11A,Secreted Signaling,TNFSF11_TNFRSF11A
751,TNFSF11,TNFRSF11B,Secreted Signaling,TNFSF11_TNFRSF11B
752,TNFSF12,TNFRSF12A,Secreted Signaling,TNFSF12_TNFRSF12A
753,CD70,CD27,Secreted Signaling,CD70_CD27
754,TNFSF8,TNFRSF8,Secreted Signaling,TNFSF8_TNFRSF8
755,TNFSF9,TNFRSF9,Secreted Signaling,TNFSF9_TNFRSF9
756,TNFSF4,TNFRSF4,Secreted Signaling,TNFSF4_TNFRSF4
757,TNFSF18,TNFRSF18,Secreted Signaling,TNFSF18_TNFRSF18
758,TNFSF13,TNFRSF17,Secreted Signaling,TNFSF13_TNFRSF17
759,TNFSF13,TNFRSF13B,Secreted Signaling,TNFSF13_TNFRSF13B
760,TNFSF13B,TNFRSF17,Secreted Signaling,TNFSF13B_TNFRSF17
761,TNFSF13B,TNFRSF13B,Secreted Signaling,TNFSF13B_TNFRSF13B
762,TNFSF13B,TNFRSF13C,Secreted Signaling,TNFSF13B_TNFRSF13C
763,CD40LG,ITGA2B,Secreted Signaling,CD40LG_ITGA2B
764,CD40LG,ITGB3,Secreted Signaling,CD40LG_ITGB3
765,CD40LG,ITGA5,Secreted Signaling,CD40LG_ITGA5
766,CD40LG,ITGB1,Secreted Signaling,CD40LG_ITGB1
767,CD40LG,ITGAM,Secreted Signaling,CD40LG_ITGAM
768,CD40LG,ITGB2,Secreted Signaling,CD40LG_ITGB2
769,SPP1,CD44,Secreted Signaling,SPP1_CD44
770,SPP1,ITGAV,Secreted Signaling,SPP1_ITGAV
771,SPP1,ITGB3,Secreted Signaling,SPP1_ITGB3
772,SPP1,ITGB1,Secreted Signaling,SPP1_ITGB1
773,SPP1,ITGB5,Secreted Signaling,SPP1_ITGB5
774,SPP1,ITGB6,Secreted Signaling,SPP1_ITGB6
775,SPP1,ITGA4,Secreted Signaling,SPP1_ITGA4
776,SPP1,ITGA9,Secreted Signaling,SPP1_ITGA9
777,SPP1,ITGA8,Secreted Signaling,SPP1_ITGA8
778,SPP1,ITGA5,Secreted Signaling,SPP1_ITGA5
779,ADIPOQ,ADIPOR1,Secreted Signaling,ADIPOQ_ADIPOR1
780,ADIPOQ,ADIPOR2,Secreted Signaling,ADIPOQ_ADIPOR2
781,RETN,TLR4,Secreted Signaling,RETN_TLR4
782,RETN,CAP1,Secreted Signaling,RETN_CAP1
783,NAMPT,ITGA5,Secreted Signaling,NAMPT_ITGA5
784,NAMPT,ITGB1,Secreted Signaling,NAMPT_ITGB1
785,ANGPTL1,ITGB1,Secreted Signaling,ANGPTL1_ITGB1
786,ANGPTL1,ITGA1,Secreted Signaling,ANGPTL1_ITGA1
787,ANGPTL2,ITGA5,Secreted Signaling,ANGPTL2_ITGA5
788,ANGPTL2,ITGB1,Secreted Signaling,ANGPTL2_ITGB1
789,ANGPTL2,TLR4,Secreted Signaling,ANGPTL2_TLR4
790,ANGPTL2,LILRB3,Secreted Signaling,ANGPTL2_LILRB3
791,ANGPTL1,LILRB3,Secreted Signaling,ANGPTL1_LILRB3
792,ANGPTL7,LILRB3,Secreted Signaling,ANGPTL7_LILRB3
793,ANGPTL4,ITGA5,Secreted Signaling,ANGPTL4_ITGA5
794,ANGPTL4,ITGB1,Secreted Signaling,ANGPTL4_ITGB1
795,ANGPTL4,ITGAV,Secreted Signaling,ANGPTL4_ITGAV
796,ANGPTL4,ITGB3,Secreted Signaling,ANGPTL4_ITGB3
797,ANGPTL4,CDH5,Secreted Signaling,ANGPTL4_CDH5
798,ANGPTL4,CDH11,Secreted Signaling,ANGPTL4_CDH11
799,ANGPTL4,SDC1,Secreted Signaling,ANGPTL4_SDC1
800,ANGPTL4,SDC2,Secreted Signaling,ANGPTL4_SDC2
801,ANGPTL4,SDC3,Secreted Signaling,ANGPTL4_SDC3
802,ANGPTL4,SDC4,Secreted Signaling,ANGPTL4_SDC4
803,ANGPTL3,ITGAV,Secreted Signaling,ANGPTL3_ITGAV
804,ANGPTL3,ITGB3,Secreted Signaling,ANGPTL3_ITGB3
805,ANGPT1,TEK,Secreted Signaling,ANGPT1_TEK
806,ANGPT2,TEK,Secreted Signaling,ANGPT2_TEK
807,ANGPT2,ITGA5,Secreted Signaling,ANGPT2_ITGA5
808,ANGPT2,ITGB1,Secreted Signaling,ANGPT2_ITGB1
809,MDK,SDC1,Secreted Signaling,MDK_SDC1
810,MDK,SDC2,Secreted Signaling,MDK_SDC2
811,MDK,SDC4,Secreted Signaling,MDK_SDC4
812,MDK,PTPRZ1,Secreted Signaling,MDK_PTPRZ1
813,MDK,ITGA4,Secreted Signaling,MDK_ITGA4
814,MDK,ITGB1,Secreted Signaling,MDK_ITGB1
815,MDK,ITGA6,Secreted Signaling,MDK_ITGA6
816,MDK,LRP1,Secreted Signaling,MDK_LRP1
817,MDK,NCL,Secreted Signaling,MDK_NCL
818,MDK,ALK,Secreted Signaling,MDK_ALK
819,PTN,PTPRZ1,Secreted Signaling,PTN_PTPRZ1
820,PTN,SDC1,Secreted Signaling,PTN_SDC1
821,PTN,SDC2,Secreted Signaling,PTN_SDC2
822,PTN,SDC3,Secreted Signaling,PTN_SDC3
823,PTN,SDC4,Secreted Signaling,PTN_SDC4
824,PTN,ITGAV,Secreted Signaling,PTN_ITGAV
825,PTN,ITGB3,Secreted Signaling,PTN_ITGB3
826,PTN,NCL,Secreted Signaling,PTN_NCL
827,PTN,ALK,Secreted Signaling,PTN_ALK
828,POSTN,ITGAV,Secreted Signaling,POSTN_ITGAV
829,POSTN,ITGB3,Secreted Signaling,POSTN_ITGB3
830,POSTN,ITGB5,Secreted Signaling,POSTN_ITGB5
831,AGT,AGTR1,Secreted Signaling,AGT_AGTR1
832,GRP,GRPR,Secreted Signaling,GRP_GRPR
833,NMB,NMBR,Secreted Signaling,NMB_NMBR
834,KNG1,BDKRB1,Secreted Signaling,KNG1_BDKRB1
835,KNG1,BDKRB2,Secreted Signaling,KNG1_BDKRB2
836,C3,C3AR1,Secreted Signaling,C3_C3AR1
837,C3,CR2,Secreted Signaling,C3_CR2
838,C3,ITGAM,Secreted Signaling,C3_ITGAM
839,C3,ITGB2,Secreted Signaling,C3_ITGB2
